,0
636,"Fulton County, Illinois"
637,"Fulton County, Indiana"
638,"Fulton County, New York"
639,"Fulton County, Ohio"
640,"Fulton County, Pennsylvania"
641,"Gadsden County, Florida"
642,"Gage County, Nebraska"
643,"Gaines County, Texas"
644,"Gallatin County, Kentucky"
645,"Gallatin County, Montana"
646,"Gallia County, Ohio"
647,"Galveston County, Texas"
648,"Garfield County, Colorado"
649,"Garfield County, Oklahoma"
650,"Garfield County, Utah"
651,"Garland County, Arkansas"
652,"Garrett County, Maryland"
653,"Garvin County, Oklahoma"
654,"Garza County, Texas"
655,"Gaston County, North Carolina"
656,"Geary County, Kansas"
657,"Geauga County, Ohio"
658,"Genesee County, Michigan"
659,"Genesee County, New York"
660,"Geneva County, Alabama"
661,"George County, Mississippi"
662,"Georgetown County, South Carolina"
663,"Gibson County, Indiana"
664,"Gibson County, Tennessee"
665,"Gila County, Arizona"
666,"Gilchrist County, Florida"
667,"Giles County, Tennessee"
668,"Gillespie County, Texas"
669,"Gilmer County, Georgia"
670,"Glades County, Florida"
671,"Glenn County, California"
672,"Gloucester County, New Jersey"
673,"Gloucester County, Virginia"
674,"Glynn County, Georgia"
675,"Gonzales County, Texas"
676,"Goochland County, Virginia"
677,"Goodhue County, Minnesota"
678,"Gordon County, Georgia"
679,"Grady County, Georgia"
680,"Grady County, Oklahoma"
681,"Grafton County, New Hampshire"
682,"Graham County, Arizona"
683,"Grainger County, Tennessee"
684,"Grand County, Colorado"
685,"Grand County, Utah"
686,"Grand Forks County, North Dakota"
687,"Grand Traverse County, Michigan"
688,"Grant County, Arkansas"
689,"Grant County, Indiana"
690,"Grant County, Kentucky"
691,"Grant County, New Mexico"
692,"Grant County, Washington"
693,"Grant County, Wisconsin"
694,"Granville County, North Carolina"
695,"Gratiot County, Michigan"
696,"Graves County, Kentucky"
697,"Gray County, Texas"
698,"Grays Harbor County, Washington"
699,"Grayson County, Kentucky"
700,"Grayson County, Texas"
701,"Green County, Wisconsin"
702,"Greenbrier County, West Virginia"
703,"Greene County, Alabama"
704,"Greene County, Arkansas"
705,"Greene County, Georgia"
706,"Greene County, Indiana"
707,"Greene County, Missouri"
708,"Greene County, New York"
709,"Greene County, North Carolina"
710,"Greene County, Ohio"
711,"Greene County, Pennsylvania"
712,"Greene County, Tennessee"
713,"Greene County, Virginia"
714,"Greensville County, Virginia"
715,"Greenup County, Kentucky"
716,"Greenville County, South Carolina"
717,"Greenwood County, South Carolina"
718,"Gregg County, Texas"
719,"Grenada County, Mississippi"
720,"Grimes County, Texas"
721,"Grundy County, Illinois"
722,"Grundy County, Iowa"
723,"Grundy County, Tennessee"
724,"Guadalupe County, New Mexico"
725,"Guadalupe County, Texas"
726,"Guernsey County, Ohio"
727,"Guilford County, North Carolina"
728,"Gulf County, Florida"
729,"Gunnison County, Colorado"
730,"Gwinnett County, Georgia"
731,"Habersham County, Georgia"
732,"Hale County, Texas"
733,"Halifax County, North Carolina"
734,"Halifax County, Virginia"
735,"Hall County, Georgia"
736,"Hall County, Nebraska"
737,"Hamblen County, Tennessee"
738,"Hamilton County, Florida"
739,"Hamilton County, Indiana"
740,"Hamilton County, Iowa"
741,"Hamilton County, Ohio"
742,"Hamilton County, Tennessee"
743,"Hamilton County, Texas"
744,"Hampden County, Massachusetts"
745,"Hampshire County, Massachusetts"
746,"Hampton County, South Carolina"
747,"Hancock County, Indiana"
748,"Hancock County, Maine"
749,"Hancock County, Mississippi"
750,"Hancock County, Ohio"
751,"Hancock County, West Virginia"
752,"Hanover County, Virginia"
753,"Haralson County, Georgia"
754,"Hardee County, Florida"
755,"Hardeman County, Tennessee"
756,"Hardin County, Iowa"
757,"Hardin County, Kentucky"
758,"Hardin County, Ohio"
759,"Hardin County, Tennessee"
760,"Hardin County, Texas"
761,"Harford County, Maryland"
762,"Harnett County, North Carolina"
763,"Harris County, Georgia"
764,"Harris County, Texas"
765,"Harrison County, Indiana"
766,"Harrison County, Iowa"
767,"Harrison County, Mississippi"
768,"Harrison County, Texas"
769,"Harrison County, West Virginia"
770,"Hart County, Georgia"
771,"Hart County, Kentucky"
772,"Hartford County, Connecticut"
773,"Hartley County, Texas"
774,"Harvey County, Kansas"
775,"Hawaii County, Hawaii"
776,"Hawkins County, Tennessee"
777,"Hays County, Texas"
778,"Haywood County, North Carolina"
779,"Haywood County, Tennessee"
780,"Hempstead County, Arkansas"
781,"Henderson County, Kentucky"
782,"Henderson County, North Carolina"
783,"Henderson County, Tennessee"
784,"Henderson County, Texas"
785,"Hendricks County, Indiana"
786,"Hendry County, Florida"
787,"Hennepin County, Minnesota"
788,"Henrico County, Virginia"
789,"Henry County, Georgia"
790,"Henry County, Illinois"
791,"Henry County, Indiana"
792,"Henry County, Iowa"
793,"Henry County, Kentucky"
794,"Henry County, Missouri"
795,"Henry County, Ohio"
796,"Henry County, Tennessee"
797,"Henry County, Virginia"
798,"Herkimer County, New York"
799,"Hernando County, Florida"
800,"Hertford County, North Carolina"
801,"Hickman County, Tennessee"
802,"Hidalgo County, New Mexico"
803,"Hidalgo County, Texas"
804,"Highland County, Ohio"
805,"Highlands County, Florida"
806,"Hill County, Texas"
807,"Hillsborough County, Florida"
808,"Hillsborough County, New Hampshire"
809,"Hillsdale County, Michigan"
810,"Hinds County, Mississippi"
811,"Hocking County, Ohio"
812,"Hockley County, Texas"
813,"Hoke County, North Carolina"
814,"Holmes County, Florida"
815,"Holmes County, Mississippi"
816,"Holmes County, Ohio"
817,"Honolulu County, Hawaii"
818,"Hood County, Texas"
819,"Hood River County, Oregon"
820,"Hopkins County, Kentucky"
821,"Hopkins County, Texas"
822,"Horry County, South Carolina"
823,"Hot Spring County, Arkansas"
824,"Houghton County, Michigan"
825,"Houston County, Alabama"
826,"Houston County, Georgia"
827,"Houston County, Texas"
828,"Howard County, Indiana"
829,"Howard County, Maryland"
830,"Howard County, Texas"
831,"Howell County, Missouri"
832,"Hubbard County, Minnesota"
833,"Hudson County, New Jersey"
834,"Humboldt County, California"
835,"Humboldt County, Nevada"
836,"Humphreys County, Tennessee"
837,"Hunt County, Texas"
838,"Hunterdon County, New Jersey"
839,"Huntingdon County, Pennsylvania"
840,"Huntington County, Indiana"
841,"Huron County, Michigan"
842,"Huron County, Ohio"
843,"Hutchinson County, Texas"
844,"Imperial County, California"
845,"Independence County, Arkansas"
846,"Indian River County, Florida"
847,"Indiana County, Pennsylvania"
848,"Ingham County, Michigan"
849,"Inyo County, California"
850,"Ionia County, Michigan"
851,"Iowa County, Iowa"
852,"Iowa County, Wisconsin"
853,"Iredell County, North Carolina"
854,"Iron County, Utah"
855,"Iroquois County, Illinois"
856,"Isabella County, Michigan"
857,"Isanti County, Minnesota"
858,"Island County, Washington"
859,"Isle of Wight County, Virginia"
860,"Itasca County, Minnesota"
861,"Itawamba County, Mississippi"
862,"Jack County, Texas"
863,"Jackson County, Alabama"
864,"Jackson County, Arkansas"
865,"Jackson County, Florida"
866,"Jackson County, Georgia"
867,"Jackson County, Illinois"
868,"Jackson County, Indiana"
869,"Jackson County, Michigan"
870,"Jackson County, Mississippi"
871,"Jackson County, Missouri"
872,"Jackson County, North Carolina"
873,"Jackson County, Ohio"
874,"Jackson County, Oklahoma"
875,"Jackson County, Oregon"
876,"Jackson County, Texas"
877,"Jackson County, West Virginia"
878,"Jackson County, Wisconsin"
879,"James City County, Virginia"
880,"Jasper County, Georgia"
881,"Jasper County, Indiana"
882,"Jasper County, Iowa"
883,"Jasper County, Mississippi"
884,"Jasper County, Missouri"
885,"Jasper County, South Carolina"
886,"Jasper County, Texas"
887,"Jay County, Indiana"
888,"Jefferson County, Alabama"
889,"Jefferson County, Arkansas"
890,"Jefferson County, Colorado"
891,"Jefferson County, Florida"
892,"Jefferson County, Idaho"
893,"Jefferson County, Illinois"
894,"Jefferson County, Indiana"
895,"Jefferson County, Kansas"
896,"Jefferson County, Kentucky"
897,"Jefferson County, Missouri"
898,"Jefferson County, New York"
899,"Jefferson County, Ohio"
900,"Jefferson County, Oregon"
901,"Jefferson County, Pennsylvania"
902,"Jefferson County, Tennessee"
903,"Jefferson County, Texas"
904,"Jefferson County, Washington"
905,"Jefferson County, West Virginia"
906,"Jefferson County, Wisconsin"
907,"Jennings County, Indiana"
908,"Jerome County, Idaho"
909,"Jersey County, Illinois"
910,"Jessamine County, Kentucky"
911,"Jim Wells County, Texas"
912,"Jo Daviess County, Illinois"
